Sted,Koordinater
Ullersmo,"60.07111460380088, 11.142220651757805"
Halden,"59.13943135210415, 11.286168918504782"
Bergen,"60.500241010647336, 5.373460014237912"
Froland,"58.49186662351599, 8.645826899442964"
Ringerike,"60.071516136369894, 10.093191813094748"
Trondheim,"63.42121314620029, 10.475847316435464"
Åna,"58.643854762129514, 5.68316346877188"
Bastøy,"59.38044123711392, 10.526315897645553"
Ila,"59.95414661214067, 10.58268202466671"
Eidsberg,"59.569799902089784, 11.32978141354828"
Mandal,"58.026632410027005, 7.524816768739655"
Bjørgvin,"60.499754391072834, 5.3794424253674915"
Trøgstad,"59.61725663163566, 11.410962309259519"
Kongsvinger,"60.211242122552235, 11.98611434440629"
Hamar,"60.79252868637004, 11.082684540051085"
Skien,"59.168248589013565, 9.605414864524878"
Stavanger,"58.994105383411664, 5.658835647672008"
Sem,"59.28632620618427, 10.333951651421966"
Hustad,"62.96757346715394, 7.143515593667157"
Kroksrud,"60.07543811339571, 11.159543057867959"
Tromsø,"69.6853650026157, 18.995954085983524"
Bodø,"67.27902267826386, 14.400337601769913"
Tønsberg,"59.29938925129957, 10.401784131858456"
Badsø,"70.07747969314907, 29.770213232025036"
Sarpsborg,"59.30457257301277, 11.129695020357659"
Vik,"61.081254314580306, 6.583336027829177"
Ålesund,"62.47206251379387, 6.161958020528106"
Sandeid,"59.551298385127566, 5.82792605555911"